nacekode	beskrivelse1	beskrivelse2
62.090	Andre tjenester tilknyttet informasjonsteknologi	
63.110	Databehandling, datalagring og tilknyttede tjenester	
63.120	Drift av web-portaler	
63.910	Nyhetsbyråer	
63.990	Andre informasjonstjenester ikke nevnt annet sted	
64.110	Sentralbankvirksomhet	
64.190	Bankvirksomhet ellers	
64.201	Finansielle holdingselskaper	
64.202	Spesielle holdingselskaper	
64.301	Verdipapirfond	
64.302	Investeringsselskaper/-fond åpne for allmennheten	
64.920	Annen kredittgivning	
64.990	Annen finansieringsvirksomhet ikke nevnt annet sted	
65.110	Livsforsikring	
65.120	Skadeforsikring	
65.200	Gjenforsikring	
65.300	Pensjonskasser	
66.110	Administrasjon av finansmarkeder	
66.120	Verdipapirmegling	
66.190	Andre tjenester tilknyttet finansieringsvirksomhet	
66.210	Risiko- og skadevurdering	
66.220	Forsikringsformidling	
66.290	Andre tjenester tilknyttet forsikringsvirksomhet og pensjonskasser	
66.300	Fondsforvaltningsvirksomhet	
68.100	Kjøp og salg av egen fast eiendom	
68.201	Borettslag	
68.209	Utleie av egen eller leid fast eiendom ellers	
68.310	Eiendomsmegling	
68.320	Eiendomsforvaltning	
69.100	Juridisk tjenesteyting	
69.201	Regnskap og bokføring	
69.202	Revisjon	
69.203	Skatterådgivning	
70.100	Hovedkontortjenester	
70.210	PR og kommunikasjonstjenester	
70.220	Bedriftsrådgivning og annen administrativ rådgivning	
71.111	Plan- og reguleringsarbeid	
71.112	Arkitekttjenester vedrørende byggverk	
71.113	Landskapsarkitekttjenester	
71.121	Byggeteknisk konsulentvirksomhet	
71.122	Geologiske undersøkelser	
71.129	Annen teknisk konsulentvirksomhet	
71.200	Teknisk prøving og analyse	
72.110	Forskning og utviklingsarbeid innen bioteknologi	
72.190	Annen forskning og annet utviklingsarbeid innen naturvitenskap og	teknikk
72.200	Forskning og utviklingsarbeid innen samfunnsvitenskap og humanistiske	fag
73.110	Reklamebyråer	
73.120	Medieformidlingstjenester	
73.200	Markeds- og opinionsundersøkelser	
74.101	Industridesign, produktdesign og annen teknisk designvirksomhet	
74.102	Grafisk og visuell kommunikasjonsdesign	
74.103	Interiørarkitekt, interiørdesign og interiørkonsulentvirksomhet	
74.200	Fotografvirksomhet	
74.300	Oversettelses- og tolkevirksomhet	
74.901	Takseringsvirksomhet	
74.902	Modellbyråvirksomhet	
74.903	Impresariovirksomhet	
74.909	Annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet	sted
75.000	Veterinærtjenester	
77.110	Utleie og leasing av biler og andre lette motorvogner	
77.120	Utleie og leasing av lastebiler	
77.210	Utleie og leasing av sports- og fritidsutstyr	
77.220	Utleie av videofilm, DVD og lignende	
77.290	Utleie og leasing av andre husholdningsvarer og varer til personlig	bruk
77.310	Utleie og leasing av landbruksmaskiner og -utstyr	
77.320	Utleie og leasing av bygge- og anleggsmaskiner og -utstyr	
77.330	Utleie og leasing av kontor- og datamaskiner	
77.340	Utleie og leasing av sjøtransportmateriell	
77.350	Utleie og leasing av lufttransportmateriell	
77.390	Utleie og leasing av andre maskiner og annet utstyr og materiell ikke	nevnt annet sted
77.400	Leasing av immateriell eiendom og lignende produkter, unntatt	opphavsrettsbeskyttede verker
78.100	Rekruttering og formidling av arbeidskraft	
78.200	Utleie av arbeidskraft	
78.300	Andre personaladministrative tjenester	
79.110	Reisebyråvirksomhet	
79.120	Reisearrangørvirksomhet	
79.901	Turistkontorvirksomhet og destinasjonsselskaper	
79.902	Guider og reiseledere	
79.903	Opplevelses-, arrangements- og aktivitetsarrangørvirksomhet	
79.909	Turistrelaterte tjenester ikke nevnt annet sted	
80.100	Private vakttjenester	
80.200	Tjenester tilknyttet vakttjenester	
80.300	Etterforskning	
81.101	Vaktmestertjenester	
81.109	Andre kombinerte tjenester tilknyttet eiendomsdrift	
81.210	Rengjøring av bygninger	
81.220	Utvendig rengjøring av bygninger og industriell rengjøring	
81.291	Skadedyrkontroll	
81.299	Annen rengjøringsvirksomhet ikke nevnt annet sted	
81.300	Beplantning av hager og parkanlegg	
82.110	Kombinerte kontortjenester	
82.190	Fotokopiering, forberedelse av dokumenter og andre spesialiserte	kontortjenester
82.201	Telefonvakttjenester	
82.202	Telefonsalg	
82.300	Kongress-, messe- og utstillingsvirksomhet	
82.910	Inkasso- og kredittopplysningsvirksomhet	
82.920	Pakkevirksomhet	
82.990	Annen forretningsmessig tjenesteyting ikke nevnt annet sted	
84.110	Generell offentlig administrasjon	
84.120	Offentlig administrasjon tilknyttet helsestell, sosial virksomhet,	undervisning, kirke, kultur og miljøvern
84.130	Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked	
84.210	Utenrikssaker	
84.220	Forsvar	
84.230	Retts- og fengselsvesen	
84.240	Politi- og påtalemyndighet	
84.250	Brannvern	
84.300	Trygdeordninger underlagt offentlig forvaltning	
85.100	Førskoleundervisning	
85.201	Ordinær grunnskoleundervisning	
85.202	Spesialskoleundervisning for funksjonshemmede	
85.203	Kompetansesentra og annen spesialundervisning	
85.310	Videregående opplæring innen allmennfaglige studieretninger	
85.320	Videregående opplæring innen tekniske og andre yrkesfaglige	studieretninger
85.410	Undervisning ved fagskoler	
85.421	Undervisning ved universiteter	
85.422	Undervisning ved vitenskapelige høgskoler	
85.423	Undervisning ved statlige høgskoler	
85.424	Undervisning ved militære høgskoler	
85.429	Undervisning ved andre høgskoler	
85.510	Undervisning innen idrett og rekreasjon	
85.521	Kommunal kulturskoleundervisning	
85.522	Undervisning i kunstfag	
85.529	Annen undervisning innen kultur	
85.530	Trafikkskoleundervisning	
85.591	Folkehøgskoleundervisning	
85.592	Arbeidsmarkedskurs	
85.593	Studieforbunds- og frivillige organisasjoners kurs	
85.594	Voksenopplæringssentre	
85.595	Timelærervirksomhet	
85.596	Undervisning innen religion	
85.599	Annen undervisning ikke nevnt annet sted	
85.601	Pedagogisk-psykologisk rådgivningstjeneste	
85.609	Andre tjenester tilknyttet undervisning	
86.101	Alminnelige somatiske sykehus	
86.102	Somatiske spesialsykehus	
86.103	Andre somatiske spesialinstitusjoner	
86.104	Institusjoner i psykisk helsevern for voksne	
86.105	Institusjoner i psykisk helsevern for barn og unge	
86.106	Rusmiddelinstitusjoner	
86.107	Rehabilitering- og opptreningsinstitusjoner	
86.211	Allmenn legetjeneste	
86.212	Somatiske poliklinikker	
86.221	Spesialisert legetjeneste, unntatt psykiatrisk legetjeneste	
86.222	Legetjenester innen psykisk helsevern	
86.223	Poliklinikker i psykisk helsevern for voksne	
86.224	Poliklinikker i psykisk helsevern for barn og unge	
86.225	Rusmiddelpoliklinikker	
86.230	Tannhelsetjenester	
86.901	Hjemmesykepleie	
86.902	Fysioterapitjeneste	
86.903	Helsestasjon og skolehelsetjeneste	
86.904	Annen forebyggende helsetjeneste	
86.905	Klinisk psykologtjeneste	
86.906	Medisinske laboratorietjenester	
86.907	Ambulansetjenester	
86.909	Andre helsetjenester	
87.101	Somatiske spesialsykehjem	
87.102	Somatiske sykehjem	
87.201	Psykiatriske sykehjem	
87.202	Omsorgsinstitusjoner for rusmiddelmisbrukere	
87.203	Bofellesskap for psykisk utviklingshemmede	
87.301	Aldershjem	
87.302	Bofellesskap for eldre og funksjonshemmede med fast tilknyttet	personell hele døgnet
87.303	Bofellesskap for eldre og funksjonshemmede med fast tilknyttet	personell deler av døgnet
87.304	Avlastningsboliger/-institusjoner	
87.305	Barneboliger	
87.901	Institusjoner innen barne- og ungdomsvern	
87.909	Omsorgsinstitusjoner ellers	
88.101	Hjemmehjelp	
88.102	Dagsentra/aktivitetssentra for eldre og funksjonshemmede	
88.103	Eldresentre	
88.911	Barnehager	
88.912	Barneparker og dagmammaer	
88.913	Skolefritidsordninger	
88.914	Fritidsklubber for barn og ungdom	
88.991	Barneverntjenester	
88.992	Familieverntjenester	
88.993	Arbeidstrening for ordinært arbeidsmarked	
88.994	Varig tilrettelagt arbeid	
88.995	Sosiale velferdsorganisasjoner	
88.996	Asylmottak	
88.997	Sosialtjenester for rusmiddelmisbrukere uten botilbud	
88.998	Kommunale sosialkontortjenester	
88.999	Andre sosialtjenester uten botilbud	
90.011	Utøvende kunstnere og underholdningsvirksomhet innen musikk	
90.012	Utøvende kunstnere og underholdningsvirksomhet innen scenekunst	
90.019	Utøvende kunstnere og underholdningsvirksomhet ikke nevnt annet sted	
90.020	Tjenester tilknyttet underholdningsvirksomhet	
90.031	Selvstendig kunstnerisk virksomhet innen visuell kunst	
90.032	Selvstendig kunstnerisk virksomhet innen musikk	
90.033	Selvstendig kunstnerisk virksomhet innen scenekunst	
90.034	Selvstendig kunstnerisk virksomhet innen litteratur	
90.039	Selvstendig kunstnerisk virksomhet ikke nevnt annet sted	
90.040	Drift av lokaler tilknyttet kunstnerisk virksomhet	
91.011	Drift av folkebiblioteker	
91.012	Drift av fag- og forskningsbiblioteker	
91.013	Drift av arkiver	
91.021	Drift av kunst- og kunstindustrimuseer	
91.022	Drift av kulturhistoriske museer	
91.023	Drift av naturhistoriske museer	
91.029	Drift av museer ikke nevnt annet sted	
91.030	Drift av historiske steder og bygninger og lignende severdigheter	
91.040	Drift av botaniske og zoologiske hager og naturreservater	
92.000	Lotteri og totalisatorspill	
93.110	Drift av idrettsanlegg	
93.120	Idrettslag og -klubber	
93.130	Treningssentre	
93.190	Andre sportsaktiviteter	
93.210	Drift av fornøyelses- og temaparker	
93.291	Opplevelsesaktiviteter	
93.292	Fritidsetablissement	
93.299	Fritidsvirksomhet ellers	
94.110	Næringslivs- og arbeidsgiverorganisasjoner	
94.120	Yrkessammenslutninger	
94.200	Arbeidstakerorganisasjoner	
94.910	Religiøse organisasjoner	
94.920	Partipolitiske organisasjoner	
94.991	Aktiviteter i andre interesseorganisasjoner ikke nevnt annet sted	
94.992	Fond/legater som støtter veldedige og allmennyttige formål	
95.110	Reparasjon av datamaskiner og tilleggsutstyr	
95.120	Reparasjon av kommunikasjonsutstyr	
95.210	Reparasjon av elektronikk til husholdningsbruk	
95.220	Reparasjon av husholdningsvarer og hageredskaper	
95.230	Reparasjon av skotøy og lærvarer	
95.240	Reparasjon av møbler og boliginnredning	
95.250	Reparasjon av ur, gull- og sølvvarer	
95.290	Reparasjon av andre husholdningsvarer og varer til personlig bruk	
96.010	Vaskeri- og renserivirksomhet	
96.020	Frisering og annen skjønnhetspleie	
96.030	Begravelsesbyråvirksomhet og drift av kirkegårder og krematorier	
96.040	Virksomhet knyttet til kroppspleie og fysisk velvære	
96.090	Personlig tjenesteyting ikke nevnt annet sted	
97.000	Lønnet arbeid i private husholdninger	
99.000	Internasjonale organisasjoner og organer	
01.250	Dyrking av annen frukt som vokser på trær eller busker samt nøtter	
01.620	Tjenester tilknyttet husdyrhold	
55.300	Drift av campingplasser	
64.306	Aktive eierfond	 
64.308	Investeringsselskaper og lignende lukket for allmennheten	
43.221	Rørleggerarbeid	
43.222	Kuldeanlegg- og varmepumpearbeid	
52.216	Kondensering av gass med henblikk på transport	
64.910	Finansiell leasing	
43.223	Ventilasjonsarbeid	
71.123	Kart og oppmåling	
90.035	Selvstendig kunstnerisk virksomhet innen blogging	
